5.94,45.512,0.05
6.039,45.461,0.05
6.122,45.658,0.05
6.122,45.672,0.05
6.127,45.684,0.05
6.203,45.907,0.05
6.239,46.065,0.05
6.244,46.131,0.05
6.292,46.283,0.05
6.295,46.363,0.05
6.327,46.444,0.05
6.358,46.572,0.05
6.363,46.621,0.05
6.356,46.682,0.05
6.337,46.724,0.05
6.295,46.76,0.05
6.25,46.755,0.05
6.158,46.688,0.05
6.124,46.624,0.05
6.079,46.567,0.05
6.06,46.531,0.05
6.023,46.38,0.05
6.003,46.354,0.05
6.002,46.316,0.05
5.979,46.27,0.05
5.948,46,0.05
5.933,45.975,0.05
5.935,45.944,0.05
5.931,45.869,0.05
5.937,45.839,0.05
5.918,45.786,0.05
5.927,45.652,0.05
0,0,0
-7.054,44.923,0.05
-7.004,44.801,0.05
-6.993,44.745,0.05
-6.926,44.505,0.05
-6.784,44.196,0.05
-6.713,44.166,0.05
-6.699,44.153,0.05
-6.681,44.184,0.05
-6.65,44.281,0.05
-6.641,44.4,0.05
-6.642,44.475,0.05
-6.641,44.496,0.05
-6.671,44.819,0.05
-6.682,44.951,0.05
-6.704,45.023,0.05
-6.718,45.165,0.05
-6.735,45.229,0.05
-6.767,45.293,0.05
-6.964,45.86,0.05
-6.984,45.905,0.05
-7.066,46,0.05
-7.129,46.033,0.05
-7.188,45.911,0.05
-7.204,45.797,0.05
-7.194,45.602,0.05
-7.175,45.483,0.05
-7.152,45.374,0.05
-7.149,45.339,0.05
-7.111,45.246,0.05
-7.112,45.177,0.05
-7.105,45.153,0.05
0,0,0
7.729,48.008,0.55
7.795,48.127,0.55
7.822,48.193,0.55
7.858,48.392,0.55
7.851,48.517,0.55
7.832,48.635,0.55
7.772,48.763,0.55
7.771,48.774,0.55
7.741,48.842,0.55
7.63,48.924,0.55
7.475,48.957,0.55
7.239,48.935,0.55
7.107,48.896,0.55
6.836,48.729,0.55
6.258,48.108,0.55
6.057,47.873,0.55
5.935,47.784,0.55
5.822,47.743,0.55
5.754,47.737,0.55
5.648,47.741,0.55
5.531,47.714,0.55
5.509,47.688,0.55
5.46,47.651,0.55
5.325,47.385,0.55
5.269,47.123,0.55
5.262,46.993,0.55
5.263,46.868,0.55
5.236,46.49,0.55
5.238,46.432,0.55
5.233,46.35,0.55
5.236,46.106,0.55
5.234,46.076,0.55
5.238,45.943,0.55
5.236,45.922,0.55
5.256,45.388,0.55
5.292,44.892,0.55
5.293,44.851,0.55
5.329,44.523,0.55
5.403,43.985,0.55
5.491,43.397,0.55
5.621,42.837,0.55
5.771,42.283,0.55
5.914,41.899,0.55
6.067,41.619,0.55
6.175,41.472,0.55
6.283,41.383,0.55
6.383,41.336,0.55
6.407,41.336,0.55
6.478,41.354,0.55
6.564,41.482,0.55
6.585,41.593,0.55
6.584,41.608,0.55
6.593,41.705,0.55
6.558,42.266,0.55
6.509,42.719,0.55
6.481,42.938,0.55
6.458,43.059,0.55
6.44,43.11,0.55
6.406,43.31,0.55
6.356,43.812,0.55
6.325,43.953,0.55
6.293,44.199,0.55
6.292,44.243,0.55
6.318,44.543,0.55
6.336,44.988,0.55
6.431,45.571,0.55
6.462,45.815,0.55
6.608,46.36,0.55
6.678,46.508,0.55
6.702,46.61,0.55
6.758,46.744,0.55
6.788,46.853,0.55
6.905,47.072,0.55
7.133,47.341,0.55
7.142,47.353,0.55
7.378,47.575,0.55
0,0,0
-0.221,36.493,0.55
-0.066,36.523,0.55
0.026,36.563,0.55
0.082,36.573,0.55
0.167,36.625,0.55
0.201,36.629,0.55
0.273,36.707,0.55
0.34,36.74,0.55
0.364,36.794,0.55
0.386,37.005,0.55
0.036,37.068,0.55
-0.053,37.105,0.55
-0.127,37.113,0.55
-0.633,37.04,0.55
-0.789,37.007,0.55
-0.822,36.988,0.55
-0.862,36.998,0.55
-0.981,36.959,0.55
-1.14,36.833,0.55
-1.218,36.742,0.55
-1.029,36.535,0.55
-0.995,36.525,0.55
-0.872,36.528,0.55
-0.825,36.525,0.55
-0.605,36.53,0.55
-0.421,36.518,0.55
-0.296,36.49,0.55
0,0,0
-6.977,42.496,0.55
-6.984,42.252,0.55
-6.982,42.215,0.55
-6.985,42.139,0.55
-7.009,41.962,0.55
-7.012,41.859,0.55
-7.008,41.703,0.55
-7.021,41.302,0.55
-6.985,41.217,0.55
-6.979,41.163,0.55
-7.003,41.052,0.55
